externalId,sourceSystem,accountNo,instrumentCode,market,settlementCurrency,notionalAmount,payloadSize,priority,requestedAt
FX-20260305-0001,OMS,ACC-120031,USDKRW-NDF,OTC,USD,12500000.00,620,1,2026-03-05T00:11:30Z
FX-20260305-0002,RISK-GW,ACC-120032,EURUSD-FWD,OTC,EUR,8200000.00,540,2,2026-03-05T00:12:10Z
FX-20260305-0003,BOOKING-API,ACC-120033,US10Y-IRS,EXCH,USD,2100000.00,280,3,2026-03-05T00:12:40Z
FX-20260305-0004,SETTLEMENT-HUB,ACC-120034,KOSPI200-FUT,EXCH,KRW,980000.00,160,4,2026-03-05T00:13:20Z
FX-20260305-0005,OMS,ACC-120035,USDKRW-NDF,OTC,USD,5300000.00,500,2,2026-03-05T00:14:00Z
FX-20260305-0006,RISK-GW,ACC-120036,EURUSD-FWD,OTC,EUR,14300000.00,700,1,2026-03-05T00:14:40Z
FX-20260305-0007,BOOKING-API,ACC-120037,US10Y-IRS,EXCH,USD,3200000.00,300,3,2026-03-05T00:15:20Z
FX-20260305-0008,SETTLEMENT-HUB,ACC-120038,KOSPI200-FUT,EXCH,KRW,760000.00,140,5,2026-03-05T00:16:00Z
FX-20260305-0009,OMS,ACC-120039,USDKRW-NDF,OTC,USD,6700000.00,560,2,2026-03-05T00:16:40Z
FX-20260305-0010,RISK-GW,ACC-120040,EURUSD-FWD,OTC,EUR,4300000.00,430,3,2026-03-05T00:17:20Z
FX-20260305-0011,BOOKING-API,ACC-120041,US10Y-IRS,EXCH,USD,1250000.00,220,4,2026-03-05T00:18:00Z
FX-20260305-0012,SETTLEMENT-HUB,ACC-120042,KOSPI200-FUT,EXCH,KRW,1850000.00,260,3,2026-03-05T00:18:40Z
